Sensor,Location,Value1,Value2,Value3,Reading_Time
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:24
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:30
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:37
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:43
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:49
Sensor,My Room,24.10,80.00,1,2023-01-28 23:58:55
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:02
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:08
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:14
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:20
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:27
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:33
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:40
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:46
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:52
Sensor,My Room,24.10,80.00,1,2023-01-28 23:59:58
Sensor,My Room,24.10,80.00,1,2023-01-29 00:00:04
Sensor,My Room,24.10,80.00,1,2023-01-29 00:00:11
